year,num of mentee,num of being mentor,num of mentee from BigGroup,num of mentee from BigGroup being mentor,num of mentee from SmallGroup,num of mentee from SmallGroup being mentor
1900,0,0,0,0,0,0
1901,20,14,7,4,7,5
1902,25,15,6,2,10,7
1903,18,9,4,3,6,3
1904,18,12,7,4,6,3
1905,23,17,12,6,4,4
1906,13,7,2,1,4,1
1907,17,7,5,1,9,5
1908,25,15,15,7,4,3
1909,21,13,12,7,8,6
1910,21,14,9,4,6,6
1911,19,9,11,6,7,4
1912,25,20,5,3,7,7
1913,23,10,1,0,16,7
1914,18,12,2,1,7,5
1915,18,13,4,3,9,6
1916,15,10,3,2,8,6
1917,14,11,9,9,4,2
1918,26,21,7,5,15,14
1919,16,10,6,4,3,1
1920,14,12,5,5,3,2
1921,23,15,2,1,12,7
1922,24,16,11,10,8,4
1923,35,27,12,9,13,9
1924,32,25,10,9,7,5
1925,38,27,13,10,16,11
1926,31,20,16,9,13,10
1927,35,25,14,13,16,11
1928,36,29,11,9,15,13
1929,45,32,18,11,21,17
1930,30,16,5,2,11,4
1931,46,37,11,10,26,21
1932,36,24,11,5,12,11
1933,41,26,23,17,18,14
1934,33,24,8,5,19,17
1935,44,32,11,10,16,11
1936,38,25,11,6,15,9
1937,22,17,6,4,9,6
1938,42,32,13,10,17,14
1939,35,27,8,7,16,11
1940,32,22,5,4,17,13
1941,42,31,13,9,22,18
1942,49,33,9,6,21,16
1943,31,22,4,2,15,13
1944,15,7,2,2,7,2
1945,18,12,4,1,9,8
1946,36,21,14,9,13,8
1947,41,31,17,13,24,21
1948,59,37,17,12,32,21
1949,54,33,16,9,20,11
1950,79,52,25,11,36,29
1951,67,40,24,11,27,20
1952,70,49,26,17,30,20
1953,68,48,25,15,26,21
1954,95,70,27,15,47,42
1955,85,57,35,17,32,24
1956,72,52,24,16,27,24
1957,60,39,17,8,29,22
1958,79,53,26,14,34,28
1959,79,57,39,26,28,26
1960,89,59,32,16,39,33
1961,96,70,26,18,44,34
1962,123,81,33,18,60,40
1963,117,83,39,28,42,31
1964,110,84,28,18,42,35
1965,129,89,41,23,50,39
1966,152,101,50,25,61,44
1967,161,123,51,35,61,51
1968,168,128,61,40,58,50
1969,163,112,62,40,60,47
1970,191,146,64,46,74,61
1971,188,130,67,43,79,63
1972,183,122,52,30,78,58
1973,176,120,58,30,74,60
1974,241,165,68,37,108,76
1975,238,159,84,46,99,69
1976,192,132,66,37,82,61
1977,246,172,76,50,122,88
1978,234,167,84,52,105,82
1979,235,156,79,45,83,59
1980,270,199,93,60,113,95
1981,255,167,74,39,119,84
1982,295,201,112,65,126,102
1983,314,211,93,48,137,102
1984,346,232,113,68,158,113
1985,345,230,111,62,151,113
1986,328,226,75,41,164,134
1987,332,189,98,44,161,110
1988,343,211,106,50,166,124
1989,415,257,120,65,190,136
1990,479,284,130,55,221,160
1991,482,291,136,69,201,132
1992,512,284,176,74,207,132
1993,534,297,140,55,215,143
1994,593,326,203,90,228,150
